Unique_ID,BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,_PARTIND_
101.0,1.0,1100.0,25860.0,39025.0,HomeImp,Other,10.5,0.0,0.0,94.3666666666667,1.0,9.0,,0.0
201.0,1.0,1300.0,70053.0,68400.0,HomeImp,Other,7.0,0.0,2.0,121.833333333333,0.0,14.0,,1.0
301.0,1.0,1500.0,13500.0,16700.0,HomeImp,Other,4.0,0.0,0.0,149.466666666667,1.0,10.0,,1.0
401.0,1.0,1500.0,,,,,,,,,,,,1.0
501.0,0.0,1700.0,97800.0,112000.0,HomeImp,Office,3.0,0.0,0.0,93.3333333333333,0.0,14.0,,0.0
601.0,1.0,1700.0,30548.0,40320.0,HomeImp,Other,9.0,0.0,0.0,101.466001910589,1.0,8.0,37.1136135584459,0.0
701.0,1.0,1800.0,48649.0,57037.0,HomeImp,Other,5.0,3.0,2.0,77.1,1.0,17.0,,1.0
801.0,1.0,1800.0,28502.0,43034.0,HomeImp,Other,11.0,0.0,0.0,88.7660298789099,0.0,8.0,36.8848940929048,0.0
901.0,1.0,2000.0,32700.0,46740.0,HomeImp,Other,3.0,0.0,2.0,216.933333333333,1.0,12.0,,1.0
1001.0,1.0,2000.0,,62250.0,HomeImp,Sales,16.0,0.0,0.0,115.8,0.0,13.0,,1.0
1101.0,1.0,2000.0,22608.0,,,,18.0,,,,,,,1.0
1201.0,1.0,2000.0,20627.0,29800.0,HomeImp,Office,11.0,0.0,1.0,122.533333333333,1.0,9.0,,0.0
1301.0,1.0,2000.0,45000.0,55000.0,HomeImp,Other,3.0,0.0,0.0,86.0666666666667,2.0,25.0,,0.0
1401.0,0.0,2000.0,64536.0,87400.0,,Mgr,2.5,0.0,0.0,147.133333333333,0.0,24.0,,1.0
1501.0,1.0,2100.0,71000.0,83850.0,HomeImp,Other,8.0,0.0,1.0,123.0,0.0,16.0,,1.0
1601.0,1.0,2200.0,24280.0,34687.0,HomeImp,Other,,0.0,1.0,300.866666666667,0.0,8.0,,1.0
1701.0,1.0,2200.0,90957.0,102600.0,HomeImp,Mgr,7.0,2.0,6.0,122.9,1.0,22.0,,1.0
1801.0,1.0,2200.0,23030.0,,,,19.0,,,,,,3.71131229945985,1.0
1901.0,1.0,2300.0,28192.0,40150.0,HomeImp,Other,4.5,0.0,0.0,54.6,1.0,16.0,,1.0
2001.0,0.0,2300.0,102370.0,120953.0,HomeImp,Office,2.0,0.0,0.0,90.9925334673386,0.0,13.0,31.5885031783155,0.0
2101.0,1.0,2300.0,37626.0,46200.0,HomeImp,Other,3.0,0.0,1.0,122.266666666667,1.0,14.0,,0.0
2201.0,1.0,2400.0,50000.0,73395.0,HomeImp,ProfExe,5.0,1.0,0.0,,1.0,0.0,,1.0
2301.0,1.0,2400.0,28000.0,40800.0,HomeImp,Mgr,12.0,0.0,0.0,67.2,2.0,22.0,,1.0
2401.0,1.0,2400.0,18000.0,,HomeImp,Mgr,22.0,,2.0,121.733333333333,0.0,10.0,,2.0
2501.0,1.0,2400.0,,17180.0,HomeImp,Other,,0.0,0.0,14.5666666666667,3.0,4.0,,1.0
2601.0,1.0,2400.0,34863.0,47471.0,HomeImp,Mgr,12.0,0.0,0.0,70.4910800318371,1.0,21.0,38.2636007309303,1.0
2701.0,0.0,2400.0,98449.0,117195.0,HomeImp,Office,4.0,0.0,0.0,93.8117748545694,0.0,13.0,29.6818270451957,1.0
2801.0,1.0,2500.0,15000.0,20200.0,HomeImp,,18.0,0.0,0.0,136.066666666667,1.0,19.0,,0.0
2901.0,1.0,2500.0,25116.0,36350.0,HomeImp,Other,10.0,1.0,2.0,276.966666666667,0.0,9.0,,1.0
3001.0,0.0,2500.0,7229.0,44516.0,HomeImp,Self,,0.0,0.0,208.0,0.0,12.0,,1.0
3101.0,0.0,2500.0,71408.0,78600.0,HomeImp,ProfExe,8.0,0.0,0.0,255.733333333333,0.0,12.0,,0.0
3201.0,1.0,2800.0,50795.0,63100.0,HomeImp,Self,26.0,2.0,15.0,145.633333333333,3.0,45.0,,1.0
3301.0,1.0,2800.0,4000.0,60850.0,HomeImp,Other,16.0,4.0,0.0,112.633333333333,2.0,9.0,,0.0
3401.0,1.0,2900.0,78600.0,113000.0,DebtCon,ProfExe,6.0,1.0,0.0,165.333333333333,2.0,26.0,,1.0
3501.0,0.0,2900.0,103949.0,112505.0,HomeImp,Office,1.0,0.0,0.0,96.1023296698115,0.0,13.0,30.0511362863198,0.0
3601.0,0.0,2900.0,104373.0,120702.0,HomeImp,Office,2.0,0.0,0.0,101.540297533419,0.0,13.0,29.9158590280245,1.0
3701.0,1.0,2900.0,7750.0,67996.0,HomeImp,Other,16.0,3.0,0.0,122.204662761713,2.0,8.0,36.211347997762,0.0
3801.0,1.0,2900.0,61962.0,70915.0,DebtCon,Mgr,2.0,0.0,0.0,282.80165923776,3.0,37.0,49.2063957904495,1.0
3901.0,0.0,3000.0,104570.0,121729.0,HomeImp,Office,2.0,0.0,0.0,85.884371894994,0.0,14.0,32.0597832671831,0.0
4001.0,1.0,3000.0,7000.0,20300.0,HomeImp,Other,3.0,0.0,0.0,50.8,5.0,9.0,,2.0
